hh,sex,age,lga,edu,mrt_status,fmly_size,m_income,cfuel,ipollut,rbiomass,dailycook,avl_lpg,aff_lpg,Electricity,hrs_elect,aff_elct,exp_elct,source_light,exp_lpg,exp_nonlpg,aff_solide,hh_appl,edu_appl,c_appl,occupation,hh_exp,housing,wall,floor,rooms,bank,bank_acct,b_facility,road,raod_dist,schl,type_sch,dst_sch,sch_days,sch_drpout,chld_labor,h_facility,dist_hfacility,illiness,waterborne,resp_disease,eye_disease,child_death,maternalcare,square_meal,health_ins,rooms_per_person,people_per_room
79.0,1,5.0,1,1,4,5,1,4,2,2.0,2.0,1,5,2.0,0.0,2.0,0.0,2.0,0.0,3000.0,2,2,2,2,2,30000.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2,1,2.0,1.0,5,1,0.0,1.0,1.0,5.0,5,0.0,0,2,2.0,3.0,2.0,0.5,1.25
80.0,2,3.0,1,5,4,4,3,6,1,2.0,3.0,1,2,1.0,0.0,2.0,2500.0,5.0,5000.0,3800.0,2,1,1,1,1,60000.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1,1,2.0,2.0,5,2,0.0,1.0,3.0,4.0,2,0.0,0,0,2.0,3.0,1.0,0.6,1.0
81.0,1,2.0,1,5,1,4,4,6,1,2.0,2.0,1,2,1.0,6.0,2.0,2000.0,2.0,0.0,0.0,2,1,1,1,1,60000.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1,1,4.0,0.0,5,2,0.0,1.0,1.0,2.0,2,0.0,0,0,2.0,3.0,1.0,0.6,1.0
82.0,1,3.0,1,1,1,4,3,4,2,2.0,2.0,1,5,1.0,6.0,2.0,2000.0,1.0,0.0,4500.0,2,2,1,1,5,60000.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1,1,3.0,0.5,5,1,0.0,1.0,1.0,2.0,2,0.0,1,2,2.0,3.0,2.0,0.4,1.3333333333333333
83.0,1,2.0,1,5,1,2,4,4,1,2.0,2.0,1,5,1.0,5.0,2.0,2000.0,2.0,0.0,4500.0,2,1,1,1,2,60000.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1,1,4.0,0.5,0,2,0.0,1.0,1.0,1.0,1,1.0,1,1,2.0,3.0,2.0,0.6666666666666666,0.6666666666666666
84.0,1,3.0,1,3,1,10,7,4,1,2.0,3.0,1,4,1.0,6.0,2.0,2000.0,2.0,0.0,4500.0,3,1,1,1,2,60000.0,2.0,3.0,3.0,12.0,1.0,1.0,2.0,1.0,1,1,1.0,2.0,5,2,0.0,1.0,1.0,5.0,5,0.0,0,2,2.0,3.0,2.0,1.0909090909090908,0.7692307692307693
85.0,1,2.0,1,6,4,2,3,6,1,2.0,2.0,1,2,1.0,4.0,2.0,2000.0,2.0,0.0,0.0,2,1,1,1,3,60000.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1,1,4.0,1.0,5,2,0.0,1.0,0.5,3.0,3,0.0,0,0,2.0,3.0,2.0,0.6666666666666666,0.6666666666666666
86.0,1,4.0,1,2,1,6,2,4,1,2.0,2.0,1,5,1.0,4.0,2.0,2000.0,2.0,0.0,4500.0,2,2,1,1,2,60000.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1,1,3.0,0.4,5,2,0.0,1.0,1.0,3.0,3,0.0,0,0,1.0,3.0,2.0,0.42857142857142855,1.5
87.0,1,3.0,1,2,1,6,2,4,2,2.0,2.0,1,5,1.0,8.0,2.0,2000.0,2.0,0.0,4500.0,2,2,1,1,6,60000.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,2.0,0.4,5,2,0.0,1.0,0.4,4.0,4,0.0,2,2,2.0,3.0,2.0,0.2857142857142857,2.0
88.0,1,4.0,1,3,1,6,2,3,2,2.0,2.0,1,5,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,2,2,2,1,6,60000.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,2.0,0.5,5,2,0.0,1.0,0.5,6.0,6,0.0,0,0,1.0,2.0,2.0,0.2857142857142857,2.0
89.0,1,2.0,1,5,4,3,3,6,1,2.0,3.0,1,3,1.0,8.0,2.0,2000.0,1.0,0.0,0.0,3,1,1,1,2,60000.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1,1,4.0,0.5,5,2,0.0,1.0,0.5,2.0,2,0.0,0,0,2.0,3.0,2.0,1.0,0.6
90.0,1,2.0,1,5,4,4,3,6,1,2.0,3.0,1,3,1.0,12.0,2.0,2000.0,1.0,0.0,4500.0,3,1,1,1,2,60000.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,2,1,1.0,0.5,5,2,0.0,1.0,1.0,4.0,4,0.0,0,0,2.0,3.0,2.0,0.8,0.8
91.0,1,3.0,1,1,1,5,2,4,1,2.0,3.0,1,5,1.0,12.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,6,60000.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2,1,3.0,0.5,5,2,0.0,1.0,1.0,4.0,4,0.0,0,1,2.0,3.0,2.0,0.5,1.25
92.0,1,5.0,1,1,1,15,2,4,1,1.0,2.0,1,5,1.0,5.0,2.0,5000.0,1.0,10000.0,4000.0,2,2,1,1,5,60000.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2,1,2.0,0.5,5,1,0.0,1.0,0.5,4.0,4,2.0,0,3,1.0,2.0,2.0,0.1875,3.75
93.0,1,4.0,1,1,1,10,3,3,2,2.0,2.0,2,5,1.0,14.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,6,60000.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2,1,2.0,1.0,4,2,0.0,1.0,1.0,8.0,8,2.0,4,2,1.0,3.0,2.0,0.36363636363636365,2.0
